School group,School name,Funder name
Bradgate Education Partnership,Wreake Valley Academy,MAT funding
Bradgate Education Partnership,Gaddesby Primary School,
Bradgate Education Partnership,Great Dalby Primary School,
Bradgate Education Partnership,Mercenfeld Primary School,
Bradgate Education Partnership,Church Hill Infant School,Drax
Acorn Education Trust,Willowbrook Primary School,
Bradgate Education Partnership,Broomfield Primary School,
Bradgate Education Partnership,The Pochin School,
Brighton and Hove,"St Mary's Catholic Primary School, Hove",
Brighton and Hove,Cottesmore St Mary Primary School,
Brighton and Hove,West Hove Infants and Hove Juniors (Holland Road site),
Brighton and Hove,St Margaret's Primary School,
Brighton and Hove,Dorothy Stringer School,OVO Foundation
Brighton and Hove,St Luke's Primary School,
Brighton and Hove,West Hove Infant School (School Road Site),
Brighton and Hove,Balfour Primary School,Brighton Energy Co-op
Brighton and Hove,Hertford Junior School,Brighton Energy Co-op
Brighton and Hove,Middle Street Primary School,
Brighton and Hove,St Bernadette's R C Primary School,OVO Foundation
Brighton and Hove,Moulsecoomb Primary school,
Brighton and Hove,Stanford Junior School,
Brighton and Hove,Coldean Primary School,Brighton Energy Co-op
Brighton and Hove,"St John the Baptist Catholic Primary School, Brighton",
Brighton and Hove,Hove Junior School (Portland Road site),
Brighton and Hove,Woodingdean Primary School,Brighton Energy Co-op
Brighton and Hove,St Nicolas Primary School,
Brighton and Hove,Goldstone Primary School,
Camden,Gospel Oak Primary and Nursery School,
Carmarthenshire/Sir G̢r,Ysgol Gwynfryn,
Carmarthenshire/Sir G̢r,Ysgol Y Bynea,Carmarthenshire Council
Carmarthenshire/Sir G̢r,Ysgol Bro Dinefwr,
Carmarthenshire/Sir G̢r,Ysgol Gymunedol Peniel,Carmarthenshire Council
Carmarthenshire/Sir G̢r,Ysgol Maes Y Gwendraeth,
Carmarthenshire/Sir G̢r,Ysgol Llangadog,
Carmarthenshire/Sir G̢r,Bryngwyn School,
Durham,Durham Sixth Form Centre,
Carmarthenshire/Sir G̢r,St John Lloyd Comprehensive School,Carmarthenshire Council
Pembrokeshire/Sir Penfro,Ysgol Brynconin,Pending data
Pembrokeshire/Sir Penfro,Ysgol Casblaidd,
Carmarthenshire/Sir G̢r,Halfway CP School,
Carmarthenshire/Sir G̢r,Ysgol Gymraeg Brynsierfel,
Carmarthenshire/Sir G̢r,Ysgol Gymraeg Ffwrnes,Carmarthenshire Council
Carmarthenshire/Sir G̢r,Ysgol Gymraeg Teilo Sant,
Carmarthenshire/Sir G̢r,Ysgol Bro Brynach,
Pembrokeshire/Sir Penfro,St Oswald's Primary School,Pending data
Carmarthenshire/Sir G̢r,Model Church In Wales School,
Carmarthenshire/Sir G̢r,Ysgol Gymraeg Parc y Tywyn,Carmarthenshire Council
Carmarthenshire/Sir G̢r,Penygaer Primary School and Ysgol Dewi Sant,
Carmarthenshire/Sir G̢r,Ysgol Rhys Prichard,
Carmarthenshire/Sir G̢r,Ysgol Pen Rhos,School self funding
Carmarthenshire/Sir G̢r,Burry Port Community Primary School,Carmarthenshire Council
Carmarthenshire/Sir G̢r,Ysgol Gymraeg Rhydaman,
Carmarthenshire/Sir G̢r,Ysgol Trimsaran,
Pembrokeshire/Sir Penfro,St Florence VC Church in Wales School,
Carmarthenshire/Sir G̢r,Ysgol Coedcae School,School self funding
Cathedral Schools Trust,St Werburgh's Primary School,OVO Foundation
Cathedral Schools Trust,Stoke Park Primary School,OVO Foundation
Cathedral Schools Trust,Trinity Academy Bristol,Bristol City Leap
Cathedral Schools Trust,Hotwells Primary School,Bristol City Leap
Cathedral Schools Trust,Headley Park Primary School,Bristol City Leap
Cathedral Schools Trust,Victoria Park Primary School,Bristol City Leap
Cathedral Schools Trust,Bristol Cathedral Choir School,OVO Foundation
Cathedral Schools Trust,St Katherine's School,OVO Foundation
Pembrokeshire/Sir Penfro,Ysgol Gymunedol Eglwyswrw,Pending data
Cathedral Schools Trust,Cathedral Primary School,Bristol City Leap
Central Bedfordshire,Beaudesert Lower School,Laser/npower
Central Bedfordshire,Fairfield Park Lower School - Dickens Boulevard,Laser/npower
Central Region Schools Trust,Holyhead School,MAT funding
Central Region Schools Trust,"Gospel Oak School, Tipton",MAT funding
Swansea/Abertawe,Pentre'r Graig Primary School,
Swansea/Abertawe,Gowerton Secondary School,
Central Region Schools Trust,Arrow Valley First School,MAT funding
Central Region Schools Trust,Abbeywood First & Church Hill Middle School,MAT funding
Central Region Schools Trust,Ipsley CE Middle School,MAT funding
Central Region Schools Trust,Arrow Vale High School,MAT funding
Swansea/Abertawe,Trallwn Primary School,
Central Region Schools Trust,Sutton Park Primary School,MAT funding
Central Region Schools Trust,Waseley Hills High School,MAT funding
Central Region Schools Trust,St Stephen's CE First School,MAT funding
Central Region Schools Trust,Oldbury Park Primary School,MAT funding
Central Region Schools Trust,Oak Hill First School,MAT funding
Central Region Schools Trust,Lickhill Primary School,MAT funding
Coastal Academies Trust,Hartsdown Academy,
Coastal Academies Trust,Cliftonville Primary School & Pre-School,MAT funding
Swansea/Abertawe,Pengelli Primary School,
Affinity Learning Partnership,Horninglow Primary School,OVO Foundation
Affinity Learning Partnership,Eton Park Junior,OVO Foundation
Swansea/Abertawe,Portmead Primary School,
Affinity Learning Partnership,Lansdowne Infant School,MAT funding
Affinity Learning Partnership,The De Ferrers Academy- Dove Campus,OVO Foundation
Affinity Learning Partnership,The De Ferrers Academy- Trent Campus,MAT funding
Affinity Learning Partnership,The De Ferrers Academy- Sixth Form,MAT funding
Affinity Learning Partnership,Richard Wakefield C.E. Primary Academy,OVO Foundation
Affinity Learning Partnership,The Pingle Academy,MAT funding
Affinity Learning Partnership,Granville Academy,OVO Foundation
Derby College,Derby College Joseph Wright Centre,MAT funding
Derby College,Derby College Ilkeston Campus,MAT funding
Swansea/Abertawe,Llanrhidian Primary School,
Derby College,Derby College Broomfield Hall,MAT funding
Swansea/Abertawe,Olchfa School,
Derby College,Derby College The Roundhouse,MAT funding
Derbyshire,Buxton Infant School,Drax
Derbyshire,Eureka Primary School,Drax
Swansea/Abertawe,Brynmill Primary School,
Derbyshire,"St. John's CE Primary School and Nursery, Belper",Drax
Derbyshire,Duckmanton Primary School,Drax
Swansea/Abertawe,Bishop Vaughan Catholic School,
Swansea/Abertawe,Pentrechwyth Primary School,
Derbyshire,South Darley CE Primary School,Drax
Derbyshire,Buxton Junior School,Drax
Swansea/Abertawe,Glyncollen Primary School,
Derbyshire,Stanton Vale School,Drax
Swansea/Abertawe,Pennard Primary School,
Devon,Braunton Academy,OVO Foundation
Swansea/Abertawe,Dunvant Primary School,
Swansea/Abertawe,Sea View Community Primary School,
Doncaster,Scawthorpe Sunnyfields Primary School,Drax
Central Bedfordshire,Fairfield Park Lower School - Ruskin Drive,Laser/npower
Dorset,Conifers Primary School,Laser/npower
Dorset,Southill Primary School,Laser/npower
Dorset,The Prince of Wales School,Laser/npower
Durham,King James 1 Community Academy,
Durham,Red Rose Primary,
Ealing,Horsenden Primary School,OVO Foundation
Swansea/Abertawe,Pentrehafod Comprehensive,
East Riding of Yorkshire,Inmans Primary School,Drax
East Riding of Yorkshire,Snaith Primary School,Drax
East Sussex,Ringmer Primary School,
East Sussex,Newick Primary School,
Swansea/Abertawe,Plasmarl Primary School,
East Sussex,Catsfield Primary School,
East Sussex,St Richard's Catholic College,
Swansea/Abertawe,Penclawdd Primary School,
East Sussex,Ditchling (St. Margaret's) CE Primary and Nursery School,
East Sussex,Herstmonceux Church of England Primary School,
Swansea/Abertawe,Clwyd Community Primary,
East Sussex,Forest Row Primary School,
Swansea/Abertawe,Casllwchwr Primary School,
East Sussex,South Malling Primary and Nursery School,
East Sussex,Sacred Heart Catholic Primary School,
East Sussex,All Saints Primary School,
East Sussex,All Saints' & St Richard's C of E Primary School,
East Sussex,Little Horsted Primary School,
East Sussex,Plumpton Primary School,
Swansea/Abertawe,Hafod Primary School,
East Sussex,Willingdon Community School,School self funding
East Sussex,Peasmarsh Primary School,
Swansea/Abertawe,Hendrefoilan Primary school,
Swansea/Abertawe,Morriston Comprehensive School,
Swansea/Abertawe,Cefn Hengoed Community School,
East Sussex,Heathfield Community College,
East Sussex,Barcombe Primary School,
East Sussex,Dallington Primary School,
East Sussex,Pevensey & Westham CE Primary School,
East Sussex,Wivelsfield Primary School,
East Sussex,Chantry Community Primary School,
East Sussex,Hamsey Primary School,
East Sussex,The Haven Primary School,
East Sussex,Seaford Primary School,
East Sussex,"St Mary's Catholic Primary School, Chapel Green",
Eastern Multi-Academy Trust,Glade Academy,Drax
Eastern Multi-Academy Trust,Norwich Road Academy,Drax
Eastern Multi-Academy Trust,Eastgate Academy,Drax
Eastern Multi-Academy Trust,Admirals Academy,Drax
Eastern Multi-Academy Trust,North Wootton Academy,MAT funding
Eastern Multi-Academy Trust,Raleigh Infant Academy,MAT funding
Eastern Multi-Academy Trust,Emneth Academy,Drax
Eastern Multi-Academy Trust,Southery Academy,Drax
Eastern Multi-Academy Trust,Upwell Academy,Drax
Eastern Multi-Academy Trust,King's Lynn Academy,Drax
Eastern Multi-Academy Trust,Nelson Academy,Drax
Edinburgh,James Gillespie's High School,School self funding
Edinburgh,Wardie Primary School,School self funding
Edinburgh,Currie Primary School,
Edinburgh,St Thomas Of Aquin's High School,School self funding
Edinburgh,Cramond Primary School,
Essex,Chelmsford County High School,Drax
Essex,Chase Lane Primary and Nursery School,
Futura Learning Partnership,Aspire Academy,
Futura Learning Partnership,Westover Green Community School and Autism Centre,OVO Foundation
Futura Learning Partnership,Woolavington Village Primary School,OVO Foundation
Futura Learning Partnership,Northgate Primary School,OVO Foundation
Futura Learning Partnership,Cheddar Grove Primary School,OVO Foundation
Futura Learning Partnership,Sir Bernard Lovell Academy,MAT funding
Futura Learning Partnership,Two Rivers CofE Primary School,MAT funding
Futura Learning Partnership,Willowdown Primary School,OVO Foundation
Futura Learning Partnership,Wansdyke Primary School,MAT funding
Leicester and Leicestershire,Mellor Community Primary School,
Futura Learning Partnership,Bridge Farm Primary School,OVO Foundation
Futura Learning Partnership,IKB Academy,MAT funding
Futura Learning Partnership,Yeo Moor Primary School,OVO Foundation
Futura Learning Partnership,"St John's Primary School, Keynsham",OVO Foundation
Futura Learning Partnership,Wellsway School,OVO Foundation
Futura Learning Partnership,Clevedon School,OVO Foundation
Futura Learning Partnership,Mary Elton Primary School,OVO Foundation
Futura Learning Partnership,Chandag Junior School,
Futura Learning Partnership,Chestnut Park Primary School,OVO Foundation
Futura Learning Partnership,The Meadows Primary School,MAT funding
Futura Learning Partnership,Chandag Primary School,MAT funding
Futura Learning Partnership,St Nicholas' Chantry CofE Primary School,OVO Foundation
Leicester and Leicestershire,Avenue Primary School,
Futura Learning Partnership,"All Saints CofE Primary School, Clevedon",OVO Foundation
Futura Learning Partnership,Saltford CofE Primary School,King Charles III Charitable Fund
Futura Learning Partnership,Tickenham CofE Primary School,OVO Foundation
Girls Day School Trust,Birkenhead High School Academy,MAT funding
Girls Day School Trust,Kensington Prep School,MAT funding
Girls Day School Trust,Blackheath High Junior School,MAT funding
Girls Day School Trust,Blackheath High Senior School,MAT funding
Girls Day School Trust,Howell's Senior School,MAT funding
Birmingham,Arden Primary School,
Oasis Multi-Academy Trust,Oasis Academy - Brightstowe,Pending data
Girls Day School Trust,Northampton High School,MAT funding
Girls Day School Trust,Streatham & Clapham High Prep School,MAT funding
Girls Day School Trust,Portsmouth High Prep School,MAT funding
Girls Day School Trust,Portsmouth High Senior School,MAT funding
Girls Day School Trust,Bromley High School,MAT funding
Midsomer Norton Schools Partnership,Hemington Primary School,
Girls Day School Trust,Oxford High Senior School,MAT funding
Girls Day School Trust,Notting Hill & Ealing High Senior School,MAT funding
Girls Day School Trust,Sheffield Girls' Senior School,MAT funding
Girls Day School Trust,Sydenham High School,MAT funding
Girls Day School Trust,Northwood College,MAT funding
Girls Day School Trust,South Hampstead High Junior School,MAT funding
Girls Day School Trust,South Hampstead High Senior School,MAT funding
Girls Day School Trust,Notting Hill & Ealing High Junior School,MAT funding
Girls Day School Trust,Streatham & Clapham High School,MAT funding
Girls Day School Trust,Belvedere Academy,MAT funding
Girls Day School Trust,Norwich High School for Girls,MAT funding
Girls Day School Trust,Wimbledon High School,MAT funding
Girls Day School Trust,Brighton Girls,MAT funding
Girls Day School Trust,Newcastle High School for Girls Senior School,MAT funding
Girls Day School Trust,Oxford High for Girls Pre-Prep,MAT funding
Girls Day School Trust,Nottingham Girls' High School,MAT funding
Girls Day School Trust,Oxford High for Girls Prep,MAT funding
Girls Day School Trust,Howell's Prep and Nursery School,MAT funding
Girls Day School Trust,Croydon High School,MAT funding
Girls Day School Trust,Sutton High School,MAT funding
Girls Day School Trust,Newcastle High School for Girls Junior School,MAT funding
Girls Day School Trust,Putney High School,MAT funding
Girls Day School Trust,Royal High Prep School Bath,MAT funding
Girls Day School Trust,Shrewsbury High Junior School,MAT funding
Girls Day School Trust,Shrewsbury High Senior School,MAT funding
Girls Day School Trust,Royal High Senior School Bath,MAT funding
Hackney,St Monica's Catholic Primary School,Shoosmiths
Hackney,Ickburgh School,Shoosmiths
Hackney,Grazebrook Primary School,OVO Foundation
Hackney,Parkwood Primary School,Shoosmiths
Hackney,Daubeney Primary School,Shoosmiths
Hackney,Comet Nursery School & Children's Centre,OVO Foundation
Hackney,St Matthias CE Primary,Shoosmiths
Hackney,London Fields Primary,OVO Foundation
Hackney,Woodberry Down Primary School,Shoosmiths
Hackney,Thomas Fairchild Community School,Shoosmiths
Edinburgh,Craigentinny Primary School,
Hackney,Shacklewell Primary School,Shoosmiths
Hackney,Springfield Community Primary School,Shoosmiths
Hackney,Rushmore Primary School,OVO Foundation
Hampshire,Castle Hill Primary School - Rooksdown Campus,
Harris Federation,Harris Girls Academy East Dulwich,
Harris Federation,Harris Academy and Primary Academy Chafford Hundred,Drax
Harris Federation,Harris Academy Battersea,MAT funding
Harris Federation,Harris Academy Beckenham,MAT funding
Harris Federation,Harris Academy Bermondsey,MAT funding
Rotherham,Newman School - Dinnington Site,
Harris Federation,Harris Academy Chobham,OVO Foundation
Harris Federation,Harris Academy Clapham,OVO Foundation
Harris Federation,Harris Academy Falconwood,MAT funding
Harris Federation,Harris Academy Greenwich,MAT funding
Harris Federation,Harris Academy Merton,OVO Foundation
Harris Federation,Harris Academy Ockendon,MAT funding
Harris Federation,Harris Academy Orpington,MAT funding
Harris Federation,Harris Academy Peckham,MAT funding
Harris Federation,Harris Academy Purley,OVO Foundation
Harris Federation,Harris Academy Rainham,OVO Foundation
Harris Federation,Harris Academy Riverside,MAT funding
Harris Federation,Harris Academy South Norwood - Beulah Hill Campus,OVO Foundation
Harris Federation,Harris Academy South Norwood - Clocktower Campus,OVO Foundation
Harris Federation,Harris Academy St John's Wood,MAT funding
Harris Federation,Harris Academy Sutton,MAT funding
Harris Federation,Harris Academy Tottenham,OVO Foundation
Harris Federation,Harris Academy Wimbledon,OVO Foundation
Harris Federation,Harris Boys Academy East Dulwich,MAT funding
Harris Federation,Harris City Academy Crystal Palace,MAT funding
Harris Federation,Harris Clapham Sixth Form,OVO Foundation
Harris Federation,Harris Garrard Academy,MAT funding
Harris Federation,Harris Girls Academy Bromley,MAT funding
Harris Federation,Harris Invictus Academy Croydon,MAT funding
Harris Federation,Harris Junior Academy Carshalton,OVO Foundation
Harris Federation,Harris Primary Academy Beckenham,
Harris Federation,Harris Primary Academy Beckenham Green,OVO Foundation
Harris Federation,Harris Primary Academy Benson,
Windsor and Maidenhead,Queen Anne Royal Free C of E First School,
Windsor and Maidenhead,Kings Court First School,
Harris Federation,Harris Primary Academy Coleraine Park,
Harris Federation,Harris Primary Academy Croydon,
Harris Federation,Harris Primary Academy Crystal Palace,
Harris Federation,Harris Primary Academy East Dulwich,
Harris Federation,Harris Primary Academy Haling Park,OVO Foundation
Harris Federation,Harris Primary Academy Kenley,
Harris Federation,Harris Primary Academy Mayflower,
Oasis Multi-Academy Trust,Oasis Academy - Temple,Pending data
Harris Federation,Harris Primary Academy Merton,OVO Foundation
Harris Federation,Harris Primary Academy Peckham Park,OVO Foundation
Harris Federation,Harris Primary Academy Philip Lane,
Harris Federation,Harris Primary Academy Purley Way,OVO Foundation
Harris Federation,Harris Primary Academy Shortlands,OVO Foundation
Harris Federation,Harris Professional Skills Sixth Form,MAT funding
Harris Federation,Harris Westminster Sixth Form,OVO Foundation
"HEART Academies Trust, Bedford",Shackleton Primary,MAT funding
"HEART Academies Trust, Bedford",Shortstown Primary,Drax
Oasis Multi-Academy Trust,Oasis Academy - Pinewood,Pending data
"HEART Academies Trust, Bedford",Cauldwell School,MAT funding
"HEART Academies Trust, Bedford",Bedford Academy,Drax
"Heart Education Trust, Norfolk",Lingwood Primary Academy,Drax
"Heart Education Trust, Norfolk",Heartsease Primary Academy,Drax
"Heart Education Trust, Norfolk",Henderson Green Primary Academy,Drax
"Heart Education Trust, Norfolk",Valley Primary Academy,Drax
Hertfordshire,Beaumont School,School self funding
Hertfordshire,Birchwood High School,Drax
Highland,Tain Royal Academy,
Highland,Ben Wyvis Primary School,
Highland,Grantown Grammar School,
Highland,Milton of Leys Primary School,
Highland,Ullapool High school,
Highland,Miller Academy Primary School,
Highland,Alness Academy,
Bristol,Redfield Educate Together Primary Academy,
Highland,Mulbuie Primary School,
Oasis Multi-Academy Trust,Oasis Academy - Clarksfield,Pending data
Highland,Smithton Primary School,
Highland,Pennyland Primary School,
Highland,Inverness High School,
Highland,Aviemore Primary School,
Highland,Ullapool Primary School,
Highland,Inver Primary School,
Highland,Mallaig High School,School self funding
Highland,Dalneigh Primary School,School self funding
Hillingdon,"Sacred Heart Catholic Primary School, Ruislip",School self funding
Hollingworth Learning Trust,Newhouse Academy,
Inspiring Futures Through Learning,Two Mile Ash School,
Inspiring Futures Through Learning,Woodnewton School,Drax
Oasis Multi-Academy Trust,Oasis Academy - Parkwood,Pending data
Inspiring Futures Through Learning,Rickley Park Primary School,
Inspiring Futures Through Learning,St Mary and St Giles Church of England School - North Site,
Inspiring Futures Through Learning,Chestnuts Primary School,
Inspiring Futures Through Learning,Olney Middle School,
Inspiring Futures Through Learning,Fairfields Primary School,
Inspiring Futures Through Learning,Ashbrook School,
Oasis Multi-Academy Trust,Oasis Academy - Harpur Mount,Pending data
Inspiring Futures Through Learning,St Mary and St Giles Church of England School - South Site,
Inspiring Futures Through Learning,Olney Infant Academy,
Inspiring Futures Through Learning,Glebe Farm School,
Inspiring Futures Through Learning,Holmwood School,
Inspiring Futures Through Learning,Whitehouse Primary School,
Inspiring Futures Through Learning,Exeter School,Drax
Inspiring Futures Through Learning,Priors Hall,Drax
Inspiring Futures Through Learning,Heronshaw School,
Inspiring Primaries Academy Trust,Claybrooke Primary School,Drax
Kent,St Peter-in-Thanet C of E Junior School,Laser/npower
Kent,The Judd School,
King Edward VI Academy Trust,King Edward VI Balaam Wood Academy,MAT funding
King Edward VI Academy Trust,King Edward VI Northfield School for Girls,MAT funding
King Edward VI Academy Trust,King Edward VI Sheldon Heath Academy,MAT funding
King Edward VI Academy Trust,King Edward VI Handsworth Wood Girls' Academy,MAT funding
King Edward VI Academy Trust,King Edward VI King's Norton School for Boys,MAT funding
King Edward VI Academy Trust,King Edward VI Lordswood School for Girls,MAT funding
King Edward VI Academy Trust,King Edward VI Aston School,MAT funding
King Edward VI Academy Trust,King Edward VI Camp Hill School,MAT funding
King Edward VI Academy Trust,King Edward VI Five Ways School,MAT funding
King Edward VI Academy Trust,King Edward VI Handsworth School for Girls,MAT funding
King Edward VI Academy Trust,King Edward VI Handsworth Grammar School for Boys,MAT funding
King's Group Academies,King's Academy Binfield,MAT funding
King's Group Academies,King's Academy Northern Parade,MAT funding
King's Group Academies,King's Academy Prospect,MAT funding
King's Group Academies,King's Academy Ringmer,MAT funding
King's Group Academies,King's Academy College Park,MAT funding
Laidlaw Schools Trust,Academy 360,MAT funding
Laidlaw Schools Trust,Excelsior Academy,MAT funding
Lancashire,Accrington St Christopher's CE High School and Sixth Form,School self funding
Leger Education Trust,Askern Moss Road Infant Academy,Drax
Leigh Academies Trust,The Halley Academy,
Leger Education Trust,Askern Littlemoor Infant Academy,Drax
Leigh Academies Trust,Ebbsfleet Academy,
Leigh Academies Trust,Marden Primary Academy,
Leger Education Trust,Castle Hills Primary Academy,Drax
Leger Education Trust,Spa Academy Askern,Drax
Leigh Academies Trust,Stationers' Crown Woods Academy,
Leger Education Trust,Campsmount Academy,Drax
Leigh Academies Trust,Horsmonden Primary Academy,
Leicester and Leicestershire,Barley Croft Primary School,Drax
Leicester and Leicestershire,Beaumont Leys School,Leicester City Council
Leicester and Leicestershire,Beaumont Lodge Primary School,Leicester City Council
Leicester and Leicestershire,Caldecote Community Primary School,
Leicester and Leicestershire,Crownhills Community College,G4S
Leicester and Leicestershire,Ellesmere College - Aylestone Meadows Campus,Leicester City Council
Leicester and Leicestershire,Hazel Community Primary School,Drax
Leicester and Leicestershire,Evington Valley Primary School,
Leicester and Leicestershire,Hastings High School,
Leicester and Leicestershire,King Richard III Infant and Nursery School,Drax
Leicester and Leicestershire,Medway Community Primary School,Leicester City Council
Leigh Academies Trust,Leigh Academy Bexley,
Leicester and Leicestershire,Moat Community College,Leicester City Council
Leicester and Leicestershire,Montrose School,Leicester City Council
Leicester and Leicestershire,New College Leicester,School self funding
Leicester and Leicestershire,Overdale Junior & Infant Schools,
Leicester and Leicestershire,Parks Primary School,Leicester City Council
Leicester and Leicestershire,Sandfield Close Primary School,Leicester City Council
Leicester and Leicestershire,Spinney Hill Primary School,Drax
Leicester and Leicestershire,St Mary's Fields Primary School,
Leicester and Leicestershire,Stokes Wood Primary School,Drax
Leicester and Leicestershire,Taylor Road Primary School,Leicester City Council
Leicester and Leicestershire,Uplands Infant School & Junior L.E.A.D. Academy,Drax
Leicester and Leicestershire,Whitehall Primary School,Leicester City Council
Leicester and Leicestershire,Wyvern Primary School,Drax
Leigh Academies Trust,Strood Academy,
Leigh Academies Trust,The Leigh Academy,
"Aspire Academy Trust, Cornwall",St Keverne Primary School,MAT funding
