"School group","School name","Funder"
"Concordia MAT","Highfields Academy, Nantwich",
"Concordia MAT","Parklands Primary School",
"Concordia MAT","Town Lane Infant School",
"Concordia MAT","Wolverham Primary School",
"De Ferrers Trust","Granville Academy","Elbow Beach"
"De Ferrers Trust","Lansdowne Infant School","Elbow Beach"
"De Ferrers Trust","Richard Wakefield C.E. Primary Academy","Elbow Beach"
"De Ferrers Trust","The Pingle Academy","Elbow Beach"
"De Ferrers Trust","Eton Park Junior","Elbow Beach"
"De Ferrers Trust","Horninglow Primary School","Elbow Beach"
"De Ferrers Trust","The De Ferrers Academy- Dove Campus","Elbow Beach"
"Derby College","Derby College Broomfield Hall","Drax"
"Derby College","Derby College Ilkeston Campus","Drax"
"Derby College","Derby College Joseph Wright Centre","Drax"
"Derby College","Derby College The Roundhouse","Drax"
"Derbyshire","Stanton Vale School","Drax"
"Devon","Braunton Academy","OVO Foundation"
"Devon","South Molton Community Primary School","Pending data"
"Doncaster","Scawthorpe Sunnyfields Primary School","Drax"
"Durham","Durham Sixth Form Centre","Waiting list for funding"
"Durham","Green Lane CE Primary",
"Durham","King James 1 Community Academy","School self funding"
"Durham","Red Rose Primary",
"East Sussex","All Saints Primary School",
"East Sussex","All Saints' & St Richard's C of E Primary School",
"East Sussex","Barcombe Primary School",
"East Sussex","Catsfield Primary School",
"East Sussex","Chantry Community Primary School",
"East Sussex","Dallington Primary School",
"East Sussex","Ditchling (St. Margaret's) CE Primary and Nursery School",
"East Sussex","Forest Row Primary School",
"East Sussex","Hamsey Primary School",
"East Sussex","Heathfield Community College",
"East Sussex","Herstmonceux Church of England Primary School",
"East Sussex","Little Horsted Primary School",
"East Sussex","Newick Primary School",
"East Sussex","Peasmarsh Primary School",
"East Sussex","Pevensey & Westham CE Primary School",
"East Sussex","Plumpton Primary School",
"East Sussex","Ringmer Primary School",
"East Sussex","Robsack Wood Primary Academy",
"East Sussex","Sacred Heart Catholic Primary School",
"East Sussex","Sandown Primary School",
"East Sussex","Seaford Primary School",
"East Sussex","South Malling Primary and Nursery School",
"East Sussex","St Mary's Catholic Primary School, Chapel Green",
"East Sussex","St Richard's Catholic College",
"East Sussex","The Haven Primary School",
"East Sussex","Willingdon Community School","School self funding"
"East Sussex","Wivelsfield Primary School",
"Eastern Multi-Academy Trust","Admirals Academy","MAT funding"
"Eastern Multi-Academy Trust","Eastgate Academy","Drax"
"Eastern Multi-Academy Trust","Emneth Academy","Drax"
"Eastern Multi-Academy Trust","Glade Academy","Drax"
"Eastern Multi-Academy Trust","King's Lynn Academy","Drax"
"Eastern Multi-Academy Trust","Nelson Academy","Drax"
"Eastern Multi-Academy Trust","North Wootton Academy","MAT funding"
"Eastern Multi-Academy Trust","Norwich Road Academy","Drax"
"Eastern Multi-Academy Trust","Raleigh Infant Academy","MAT funding"
"Eastern Multi-Academy Trust","Southery Academy","Drax"
"Eastern Multi-Academy Trust","Upwell Academy","Drax"
"Edinburgh","Craigentinny Primary School",
"Edinburgh","Cramond Primary School",
"Edinburgh","Currie Primary School",
"Edinburgh","James Gillespie's High School","Centrica"
"Edinburgh","St Thomas Of Aquin's High School","Centrica"
"Edinburgh","Wardie Primary School","Centrica"
"Essex","Chase Lane Primary and Nursery School","Drax"
"Futura Learning Partnership","Aspire Academy","Postcode Local Trust"
"Futura Learning Partnership","Chandag Infant School","OVO Foundation"
"Futura Learning Partnership","Chandag Junior School","OVO Foundation"
"Futura Learning Partnership","Cheddar Grove Primary School","OVO Foundation"
"Futura Learning Partnership","IKB Academy","MAT funding"
"Futura Learning Partnership","Saltford C of E Primary School","MAT funding"
"Futura Learning Partnership","Sir Bernard Lovell Academy","OVO Foundation"
"Futura Learning Partnership","St John's Primary School, Keynsham",
"Futura Learning Partnership","The Meadows Primary School","MAT funding"
"Futura Learning Partnership","Two Rivers Church of England Primary School","OVO Foundation"
"Futura Learning Partnership","Wansdyke Primary School","OVO Foundation"
"Futura Learning Partnership","Wellsway School","MAT funding"
"Girls Day School Trust","Belvedere Academy","MAT funding"
"Girls Day School Trust","Birkenhead High School Academy","MAT funding"
"Girls Day School Trust","Blackheath High Junior School","MAT funding"
"Girls Day School Trust","Blackheath High Senior School","MAT funding"
"Girls Day School Trust","Brighton Girls","MAT funding"
"Girls Day School Trust","Bromley High School","MAT funding"
"Girls Day School Trust","Croydon High School","MAT funding"
"Girls Day School Trust","Howell's Prep and Nursery School","MAT funding"
"Girls Day School Trust","Howell's Senior School","MAT funding"
"Girls Day School Trust","Kensington Prep School","MAT funding"
"Girls Day School Trust","Newcastle High School for Girls Junior School","MAT funding"
"Girls Day School Trust","Newcastle High School for Girls Senior School","MAT funding"
"Girls Day School Trust","Northampton High School","MAT funding"
"Girls Day School Trust","Northwood College","MAT funding"
"Girls Day School Trust","Norwich High School for Girls","MAT funding"
"Girls Day School Trust","Notting Hill & Ealing High Junior School","MAT funding"
"Girls Day School Trust","Notting Hill & Ealing High Senior School","MAT funding"
"Girls Day School Trust","Nottingham Girls' High School","MAT funding"
"Girls Day School Trust","Oxford High for Girls Pre-Prep","MAT funding"
"Girls Day School Trust","Oxford High for Girls Prep","MAT funding"
"Girls Day School Trust","Oxford High Senior School","MAT funding"
"Girls Day School Trust","Portsmouth High Prep School","MAT funding"
"Girls Day School Trust","Portsmouth High Senior School","MAT funding"
"Girls Day School Trust","Putney High School","MAT funding"
"Girls Day School Trust","Royal High Prep School Bath","MAT funding"
"Girls Day School Trust","Royal High Senior School Bath","MAT funding"
"Girls Day School Trust","Sheffield Girls' Senior School","MAT funding"
"Girls Day School Trust","Shrewsbury High Junior School","MAT funding"
"Girls Day School Trust","Shrewsbury High Senior School","MAT funding"
"Girls Day School Trust","South Hampstead High Junior School","MAT funding"
"Girls Day School Trust","South Hampstead High Senior School","MAT funding"
"Girls Day School Trust","Streatham & Clapham High Prep School","MAT funding"
"Girls Day School Trust","Streatham & Clapham High School","MAT funding"
"Girls Day School Trust","Sutton High School","MAT funding"
"Girls Day School Trust","Sydenham High School","MAT funding"
"Girls Day School Trust","Wimbledon High School","MAT funding"
"Hampshire","Castle Hill Primary School - Rooksdown Campus",
"Hampshire","Hounsdown School",
"Hampshire","Swaythling Primary School",
"Harris Federation","Harris Academy and Primary Academy Chafford Hundred","Drax"
"Harris Federation","Harris Academy Battersea","OVO Foundation"
"Harris Federation","Harris Academy Beckenham","OVO Foundation"
"Harris Federation","Harris Academy Bermondsey","OVO Foundation"
"Harris Federation","Harris Academy Chobham","OVO Foundation"
"Harris Federation","Harris Academy Clapham","OVO Foundation"
"Harris Federation","Harris Academy Falconwood","OVO Foundation"
"Harris Federation","Harris Academy Greenwich","OVO Foundation"
"Harris Federation","Harris Academy Merton","OVO Foundation"
"Harris Federation","Harris Academy Ockendon","Drax"
"Harris Federation","Harris Academy Orpington","OVO Foundation"
"Harris Federation","Harris Academy Peckham","OVO Foundation"
"Harris Federation","Harris Academy Purley","OVO Foundation"
"Harris Federation","Harris Academy Rainham","OVO Foundation"
"Harris Federation","Harris Academy Riverside","Drax"
"Harris Federation","Harris Academy South Norwood - Clocktower Campus","OVO Foundation"
"Harris Federation","Harris Academy South Norwood - Beulah Hill Campus","OVO Foundation"
"Harris Federation","Harris Academy South Norwood - Upper Site","OVO Foundation"
"Harris Federation","Harris Academy St John's Wood","OVO Foundation"
"Harris Federation","Harris Academy Sutton","OVO Foundation"
"Harris Federation","Harris Academy Tottenham","OVO Foundation"
"Harris Federation","Harris Academy Wimbledon","OVO Foundation"
"Harris Federation","Harris Boys Academy East Dulwich","OVO Foundation"
"Harris Federation","Harris City Academy Crystal Palace","OVO Foundation"
"Harris Federation","Harris Clapham Sixth Form","OVO Foundation"
"Harris Federation","Harris Garrard Academy","OVO Foundation"
"Harris Federation","Harris Girls Academy Bromley","OVO Foundation"
"Harris Federation","Harris Girls Academy East Dulwich","OVO Foundation"
"Harris Federation","Harris Invictus Academy Croydon","OVO Foundation"
"Harris Federation","Harris Junior Academy Carshalton","OVO Foundation"
"Harris Federation","Harris Primary Academy Beckenham","OVO Foundation"
"Harris Federation","Harris Primary Academy Beckenham Green","OVO Foundation"
"Harris Federation","Harris Primary Academy Benson","OVO Foundation"
"Harris Federation","Harris Primary Academy Coleraine Park","OVO Foundation"
"Harris Federation","Harris Primary Academy Croydon","OVO Foundation"
"Harris Federation","Harris Primary Academy Crystal Palace","OVO Foundation"
"Harris Federation","Harris Primary Academy East Dulwich","OVO Foundation"
"Harris Federation","Harris Primary Academy Haling Park","OVO Foundation"
"Harris Federation","Harris Primary Academy Kenley","OVO Foundation"
"Harris Federation","Harris Primary Academy Mayflower","Drax"
"Harris Federation","Harris Primary Academy Merton","OVO Foundation"
"Harris Federation","Harris Primary Academy Peckham Park","OVO Foundation"
"Harris Federation","Harris Primary Academy Philip Lane","OVO Foundation"
"Harris Federation","Harris Primary Academy Purley Way","OVO Foundation"
"Harris Federation","Harris Primary Academy Shortlands","OVO Foundation"
"Harris Federation","Harris Professional Skills Sixth Form","OVO Foundation"
"Harris Federation","Harris Westminster Sixth Form","OVO Foundation"
"HEART Academies Trust, Bedford","Bedford Academy","Drax"
"HEART Academies Trust, Bedford","Cauldwell School","Drax"
"HEART Academies Trust, Bedford","Shackleton Primary","Drax"
"HEART Academies Trust, Bedford","Shortstown Primary","Drax"
"Heart Education Trust, Norfolk","Heartsease Primary Academy","Drax"
"Heart Education Trust, Norfolk","Henderson Green Primary Academy","Drax"
"Heart Education Trust, Norfolk","Lingwood Primary Academy","Drax"
"Heart Education Trust, Norfolk","Valley Primary Academy","Drax"
"Hertfordshire","Beaumont School","School self funding"
"Hertfordshire","Birchwood High School","Drax"
"Highland","Alness Academy",
"Highland","Aviemore Primary School",
"Highland","Ben Wyvis Primary School",
"Highland","Bualnaluib Primary School",
"Highland","Dalneigh Primary School","Centrica"
"Highland","Farr Primary School",
"Highland","Grantown Grammar School",
"Highland","Inver Primary School",
"Highland","Inverness High School",
"Highland","Mallaig High School","Centrica"
"Highland","Miller Academy Primary School",
"Highland","Milton of Leys Primary School",
"Highland","Mulbuie Primary School",
"Highland","Pennyland Primary School",
"Highland","Poolewe Primary school",
"Highland","Smithton Primary School",
"Highland","Tain Royal Academy",
"Highland","Tomnacross Primary School",
"Highland","Ullapool High school",
"Highland","Ullapool Primary School",
"Hollingworth Learning Trust","Newhouse Academy",
"Inspiring Futures Through Learning","Ashbrook School","Waiting list for funding"
"Inspiring Futures Through Learning","Chestnuts Primary School","Waiting list for funding"
"Inspiring Futures Through Learning","Exeter School","Drax"
"Inspiring Futures Through Learning","Fairfields Primary School","Waiting list for funding"
"Inspiring Futures Through Learning","Glebe Farm School","Waiting list for funding"
"Inspiring Futures Through Learning","Heronshaw School","Waiting list for funding"
"Inspiring Futures Through Learning","Holmwood School","Waiting list for funding"
"Inspiring Futures Through Learning","Olney Infant Academy","Waiting list for funding"
"Inspiring Futures Through Learning","Olney Middle School","Waiting list for funding"
"Inspiring Futures Through Learning","Priors Hall","Drax"
"Inspiring Futures Through Learning","Rickley Park Primary School","Waiting list for funding"
"Inspiring Futures Through Learning","St Mary and St Giles Church of England School - North Site","Waiting list for funding"
"Inspiring Futures Through Learning","St Mary and St Giles Church of England School - South Site","Waiting list for funding"
"Inspiring Futures Through Learning","Two Mile Ash School","Waiting list for funding"
"Inspiring Futures Through Learning","Whitehouse Primary School","Waiting list for funding"
"Inspiring Futures Through Learning","Woodnewton School","Drax"
"Kent","St Peter-in-Thanet C of E Junior School",
"Kent","The Judd School",
"King Edward VI Academy Trust","King Edward VI Aston School","MAT funding"
"King Edward VI Academy Trust","King Edward VI Balaam Wood Academy","Postcode Local Trust"
"King Edward VI Academy Trust","King Edward VI Camp Hill School","MAT funding"
"King Edward VI Academy Trust","King Edward VI Five Ways School","MAT funding"
"King Edward VI Academy Trust","King Edward VI Handsworth Grammar School for Boys","MAT funding"
"King Edward VI Academy Trust","King Edward VI Handsworth School for Girls","MAT funding"
"King Edward VI Academy Trust","King Edward VI Handsworth Wood Girls' Academy","Postcode Local Trust"
"King Edward VI Academy Trust","King Edward VI Lordswood School for Girls","MAT funding"
"King Edward VI Academy Trust","King Edward VI Northfield School for Girls","Postcode Local Trust"
"King Edward VI Academy Trust","King Edward VI Sheldon Heath Academy","Postcode Local Trust"
"Kings Group Academies","King's Academy Binfield","MAT funding"
"Kings Group Academies","King's Academy Prospect","MAT funding"
"Leger Education Trust","Askern Littlemoor Infant Academy","Drax"
"Leger Education Trust","Askern Moss Road Infant Academy","Drax"
"Leger Education Trust","Campsmount Academy","Drax"
"Leger Education Trust","Castle Hills Primary Academy","Drax"
"Leger Education Trust","Spa Academy Askern","Drax"
"Leicester and Leicestershire","Charnwood Primary School","Leicester City Council"
"Leicester and Leicestershire","Beaumont Lodge Primary School","Leicester City Council"
"Leicester and Leicestershire","Beaumont Leys School","Leicester City Council"
"Leicester and Leicestershire","Ellesmere College - Aylestone Meadows Campus","Leicester City Council"
"Leicester and Leicestershire","Medway Community Primary School","Leicester City Council"
"Leicester and Leicestershire","Moat Community College","Leicester City Council"
"Leicester and Leicestershire","Montrose School","Leicester City Council"
"Leicester and Leicestershire","Whitehall Primary School","Leicester City Council"
"Leicester and Leicestershire","Avenue Primary School","Drax"
"Leicester and Leicestershire","Barley Croft Primary School","Drax"
"Leicester and Leicestershire","Caldecote Community Primary School","Drax"
"Leicester and Leicestershire","Evington Valley Primary School",
"Leicester and Leicestershire","Green Lane Infant School","Leicester City Council"
"Leicester and Leicestershire","Hastings High School",
"Leicester and Leicestershire","Highfields Primary School","Drax"
"Leicester and Leicestershire","King Richard III Infant and Nursery School","Drax"
"Leicester and Leicestershire","Mellor Community Primary School","Pending data"
"Leicester and Leicestershire","New College Leicester","Drax"
"Leicester and Leicestershire","Overdale Junior & Infant Schools","Leicester City Council"
"Leicester and Leicestershire","Parks Primary School","Drax"
"Leicester and Leicestershire","Sandfield Close Primary School","Leicester City Council"
"Leicester and Leicestershire","Sparkenhoe Community Primary School","Leicester City Council"
"Leicester and Leicestershire","Spinney Hill Primary School","Drax"
"Leicester and Leicestershire","St Mary's Fields Primary School","Drax"
"Leicester and Leicestershire","Stokes Wood Primary School","Drax"
"Leicester and Leicestershire","Taylor Road Primary School","Drax"
"Leicester and Leicestershire","Uplands Infant School & Junior L.E.A.D. Academy","Drax"
"Leicester and Leicestershire","Wyvern Primary School","Drax"
"Leigh Academies Trust","Bearsted Primary Academy and Snowfields Academy","Waiting list for funding"
"Leigh Academies Trust","Cherry Orchard Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Dartford Primary Academy - Infant site","Waiting list for funding"
"Leigh Academies Trust","Dartford Primary Academy - Junior site","Waiting list for funding"
"Leigh Academies Trust","Eastcote Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Ebbsfleet Academy","Waiting list for funding"
"Leigh Academies Trust","Hartley Primary Academy","Waiting list for funding"
"Leigh Academies Trust","High Halstow Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Horsmonden Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Inspiration Academy","Waiting list for funding"
"Leigh Academies Trust","Langley Park Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Leigh Academy Blackheath","Waiting list for funding"
"Leigh Academies Trust","Leigh Academy Rainham","Waiting list for funding"
"Leigh Academies Trust","Leigh Academy Tonbridge","Waiting list for funding"
"Leigh Academies Trust","Longfield Academy","Waiting list for funding"
"Leigh Academies Trust","Marden Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Mascalls Academy","Waiting list for funding"
"Leigh Academies Trust","Milestone Academy","Waiting list for funding"
"Leigh Academies Trust","Molehill Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Oaks Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Paddock Wood Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Peninsula East Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Sir Joseph Williamson's Mathematical School","Waiting list for funding"
"Leigh Academies Trust","Snowfields Academy - Cranbrook Campus","Waiting list for funding"
"Leigh Academies Trust","Stationers' Crown Woods Academy","Waiting list for funding"
"Leigh Academies Trust","Strood Academy","Waiting list for funding"
"Leigh Academies Trust","The Halley Academy","Waiting list for funding"
"Leigh Academies Trust","The Hundred of Hoo Academy Primary","Waiting list for funding"
"Leigh Academies Trust","The Hundred of Hoo Academy Secondary","Waiting list for funding"
"Leigh Academies Trust","The Hundred of Hoo Nursery","Waiting list for funding"
"Leigh Academies Trust","The Leigh Academy","Waiting list for funding"
"Leigh Academies Trust","The Leigh UTC","Waiting list for funding"
"Leigh Academies Trust","Tree Tops Primary Academy","Waiting list for funding"
"Leigh Academies Trust","Wilmington Academy","Waiting list for funding"
"Lighthouse Schools Partnership","Backwell Junior School","OVO Foundation"
"Lighthouse Schools Partnership","Backwell School","OVO Foundation"
"Lighthouse Schools Partnership","Bishop Sutton Primary School",
"Lighthouse Schools Partnership","Chew Valley School","OVO Foundation"
"Lighthouse Schools Partnership","Churchill Academy & Sixth Form","OVO Foundation"
"Lighthouse Schools Partnership","Churchill C of E Primary School","Pending data"
"Lighthouse Schools Partnership","East Harptree Primary School","OVO Foundation"
"Lighthouse Schools Partnership","Flax Bourton Primary School","OVO Foundation"
"Lighthouse Schools Partnership","Gordano School","OVO Foundation"
"Lighthouse Schools Partnership","Grove Junior School","OVO Foundation"
"Lighthouse Schools Partnership","Hannah More Infants","OVO Foundation"
"Lighthouse Schools Partnership","High Down Schools","OVO Foundation"
"Lighthouse Schools Partnership","Northleaze Primary School","OVO Foundation"
"Lighthouse Schools Partnership","Portishead Primary School","OVO Foundation"
"Lighthouse Schools Partnership","St Peter's Primary School","OVO Foundation"
"Lighthouse Schools Partnership","Stanton Drew Primary School",
"Lighthouse Schools Partnership","West Leigh Infant School","OVO Foundation"
"Lighthouse Schools Partnership","Whitchurch Primary School","OVO Foundation"
"Lighthouse Schools Partnership","Winford Primary School","OVO Foundation"
"Lighthouse Schools Partnership","Yatton Infant School","OVO Foundation"
"Lighthouse Schools Partnership","Yatton Junior School","OVO Foundation"
"Lionheart Multi-Academy Trust","Beauchamp City Sixth Form","MAT funding"
"Lionheart Multi-Academy Trust","Beauchamp College","Drax"
"Lionheart Multi-Academy Trust","Brocks Hill Primary School","Drax"
"Lionheart Multi-Academy Trust","Broom Leys Primary School","Drax"
"Lionheart Multi-Academy Trust","Castle Rock School","Drax"
"Lionheart Multi-Academy Trust","Hallam Fields Primary School","Drax"
"Lionheart Multi-Academy Trust","Highcliffe Primary Academy","MAT funding"
"Lionheart Multi-Academy Trust","Humphrey Perkins School","Drax"
"Lionheart Multi-Academy Trust","Judgemeadow Community College","Pending data"
"Lionheart Multi-Academy Trust","Martin High School","Drax"
"Lionheart Multi-Academy Trust","Riverside Primary Academy","Drax"
"Lionheart Multi-Academy Trust","Sir Jonathan North College","Drax"
"Lionheart Multi-Academy Trust","The Cedars Academy","Drax"
"Lionheart Multi-Academy Trust","The Newbridge School","Drax"
"Manchester","Ashbury Meadow Primary School","School self funding"
"Manchester","Camberwell Park School","School self funding"
"Manchester","Castlefield Campus","School self funding"
"Manchester","Cheetham CE Community Academy","School self funding"
"Manchester","Heald Place Primary School","School self funding"
"Manchester","Lancasterian School","School self funding"
"Manchester","Meade Hill School","School self funding"
"Manchester","Our Lady's R.C. High School","School self funding"
"Manchester","Park View Community School","School self funding"
"Manchester","Southern Cross School","School self funding"
"Merthyr Tydfil","Coed-Y-Dderwen",
"Merthyr Tydfil","Gellifaelog Primary",
"Merthyr Tydfil","Goetre Primary School",
"Merthyr Tydfil","Heolgerrig Community School",
"Merthyr Tydfil","Twynyrodyn Community School",
"Merthyr Tydfil","Ynysowen Primary School",
"Merthyr Tydfil","Ysgol Rhyd-Y-Grug",
"Midsomer Norton Schools Partnership","Beechen Cliff School","OVO Foundation"
"Midsomer Norton Schools Partnership","Buckler's Mead School","OVO Foundation"
"Midsomer Norton Schools Partnership","Clutton Primary School","OVO Foundation"
"Midsomer Norton Schools Partnership","Critchill School","Postcode Local Trust"
"Midsomer Norton Schools Partnership","Dundry Primary School","OVO Foundation"
