"URN","Name","Type","Address","Postcode","Website","Ecoschool Status"
109208,"St Marys C of E Primary School - Writhlington ","primary","Penn Hill Road","BA2 0JR","www.stmaryswrithlington.co.uk",""
109155,"St Michaels C of E Junior School ","junior","Newton Road","BA2 1RW","www.stmichaelsjuniors.eschools...",""
134238,"St Nicholas C of E Primary School ","primary","Kilmersdon Road","BA3 3QH","www.stnicholasprimaryradstock.co.uk","bronze"
143560,"St Philips C of E Primary School ","primary","Bloomfield Rise","BA2 2BN","www.stphilips-school.org/","bronze"
109154,"St Saviours C of E Infant School ","primary","Spring Lane, Larkhall, Bath","BA1 6NY","http://www.stsaviours-infants.org/website","green"
109153,"St Saviours C of E Junior School ","junior","Brookleaze Place","BA1 6TG","www.stsaviours-jun.co.uk/",""
109258,"St Stephens C of E Primary School ","primary","Richmond Place","BA1 5PZ","www.st-stephens.bathnes.sch.uk...",""
109206,"Swainswick C Of E School ","primary","Innox Lane","BA1 8DB","www.swainswickschool.co.uk/","silver"
140079,"Three Ways Special School ","special","Frome Road","BA2 5RF","www.threeways.co.uk","bronze"
109007,"Twerton Infant School","primary","Poolemead Road","BA2 1QR","www.twerton-infant-school.co.uk","silver"
109209,"Ubley C of E Primary School ","primary","The Street","BS40 6PJ","www.ubley.bathnes.sch.uk",""
137523,"Wellsway School ","secondary","Chandag Road","BS31 1PH","http://www.wellswayschool.com/","bronze"
142941,"Welton Primary School ","primary","Radstock Road","BA3 2AG","www.weltonprimaryschool.co.uk/","bronze"
109072,"Westfield Primary School","primary","Longfellow Road","BA3 3XX","www.westfieldprimary.com/","silver"
142754,"Weston All Saints CofE Primary School","primary","Broadmoor Lane","BA1 4JR","www.wasp-school.org.uk","silver"
109073,"Whitchurch Primary School","primary","Bristol Road","BS14 0PT","www.whitchurchprimary.co.uk/","silver"
143559,"Widcombe C of E Junior School ","junior","Pultney Road","BA2 4JG","www.widcombecejuniorschool.co.uk","silver"
143010,"Widcombe Infant School","infant","Archway Street","BA2 4JG","www.widcombeinf.ik.org/",""
137548,"Writhlington School & Sports Centre ","secondary","Radstock","BA3 3NQ","http://www.writhlington.org.uk",""
